ID,Parent,Type,Epic,Feature,Title,Description,Priority,Milestone,Dependencies,StoryPoints,EstimateHours,Owner,Risk,Status,DocumentRefs,AcceptanceCriteria
T-0052,S-0026,Task,Catalog & Product Discovery,Catalog administration,Implement responsive UI and interaction for: Manage publication and redirects,Complete the integrated workflow and user/operator experience for story S-0026.,P1,M2,T-0051,3,16,Catalog,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0026,T-0052,Subtask,Catalog & Product Discovery,Catalog administration,"Add accessibility, analytics and automated tests for: Manage publication and redirects",Provide verification and operational evidence for story S-0026.,P1,M2,T-0052,2,8,Catalog,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0014,E-0005,Feature,Catalog & Product Discovery,Discovery and product pages,Discovery and product pages,Provide the Discovery and product pages capability within Catalog & Product Discovery.,P1,M2,ST-0026,16,80,Catalog,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0027,F-0014,Story,Catalog & Product Discovery,Discovery and product pages,"Implement filters, search and sorting",Users can narrow products with shareable state.,P1,M2,F-0014,8,40,Catalog,Medium,Planned,See RTM/Owner Document,Users can narrow products with shareable state.
T-0053,S-0027,Task,Catalog & Product Discovery,Discovery and product pages,"Implement data/API and state contract for: Implement filters, search and sorting",Create the server-side/domain foundation required by story S-0027.,P1,M2,S-0027,3,16,Catalog,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0054,S-0027,Task,Catalog & Product Discovery,Discovery and product pages,"Implement responsive UI and interaction for: Implement filters, search and sorting",Complete the integrated workflow and user/operator experience for story S-0027.,P1,M2,T-0053,3,16,Catalog,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0027,T-0054,Subtask,Catalog & Product Discovery,Discovery and product pages,"Add accessibility, analytics and automated tests for: Implement filters, search and sorting",Provide verification and operational evidence for story S-0027.,P1,M2,T-0054,2,8,Catalog,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0028,F-0014,Story,Catalog & Product Discovery,Discovery and product pages,"Implement premium product detail, variants and direct-sale actions","Deliver product state, variants and clear Buy/Configure/Quote actions.",P1,M2,ST-0027,8,40,Catalog,Medium,Planned,05_Features/01_Catalog_and_Products.md; ADR-0014; ADR-0017,"Deliver product state, variants and clear Buy/Configure/Quote actions."
T-0055,S-0028,Task,Catalog & Product Discovery,Discovery and product pages,"Implement architecture and controls for: Implement premium product detail, variants and direct-sale actions","Implement architecture and controls for: Implement premium product detail, variants and direct-sale actions",P1,M2,S-0028,3,16,Catalog,Medium,Planned,See story and RTM,"Implement architecture and controls for: Implement premium product detail, variants and direct-sale actions completed with evidence linked to the story."
T-0056,S-0028,Task,Catalog & Product Discovery,Discovery and product pages,"Integrate end-to-end workflow for: Implement premium product detail, variants and direct-sale actions","Integrate end-to-end workflow for: Implement premium product detail, variants and direct-sale actions",P1,M2,T-0055,3,16,Catalog,Medium,Planned,See story and component/API specs,"Integrate end-to-end workflow for: Implement premium product detail, variants and direct-sale actions completed with evidence linked to the story."
ST-0028,T-0056,Subtask,Catalog & Product Discovery,Discovery and product pages,"Verify accessibility, performance, observability and traceability for: Implement premium product detail, variants and direct-sale actions","Verify accessibility, performance, observability and traceability for: Implement premium product detail, variants and direct-sale actions",P1,M2,T-0056,2,8,Catalog,Medium,Planned,Testing Strategy; Observability; RTM,"Verify accessibility, performance, observability and traceability for: Implement premium product detail, variants and direct-sale actions completed with evidence linked to the story."
F-0015,E-0005,Feature,Catalog & Product Discovery,Catalog SEO and media,Catalog SEO and media,Provide the Catalog SEO and media capability within Catalog & Product Discovery.,P1,M2,ST-0028,21,104,Catalog,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0029,F-0015,Story,Catalog & Product Discovery,Catalog SEO and media,Integrate structured product metadata,Visible product facts generate valid metadata and schema.,P1,M2,F-0015,8,40,Catalog,Medium,Planned,See RTM/Owner Document,Visible product facts generate valid metadata and schema.
T-0057,S-0029,Task,Catalog & Product Discovery,Catalog SEO and media,Implement data/API and state contract for: Integrate structured product metadata,Create the server-side/domain foundation required by story S-0029.,P1,M2,S-0029,3,16,Catalog,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0058,S-0029,Task,Catalog & Product Discovery,Catalog SEO and media,Implement responsive UI and interaction for: Integrate structured product metadata,Complete the integrated workflow and user/operator experience for story S-0029.,P1,M2,T-0057,3,16,Catalog,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0029,T-0058,Subtask,Catalog & Product Discovery,Catalog SEO and media,"Add accessibility, analytics and automated tests for: Integrate structured product metadata",Provide verification and operational evidence for story S-0029.,P1,M2,T-0058,2,8,Catalog,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0030,F-0015,Story,Catalog & Product Discovery,Catalog SEO and media,Integrate catalog media pipeline,Responsive approved assets stay within performance budgets.,P1,M2,ST-0029,13,64,Catalog,High,Planned,See RTM/Owner Document,Responsive approved assets stay within performance budgets.
T-0059,S-0030,Task,Catalog & Product Discovery,Catalog SEO and media,Implement data/API and state contract for: Integrate catalog media pipeline,Create the server-side/domain foundation required by story S-0030.,P1,M2,S-0030,5,24,Catalog,High,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0060,S-0030,Task,Catalog & Product Discovery,Catalog SEO and media,Implement responsive UI and interaction for: Integrate catalog media pipeline,Complete the integrated workflow and user/operator experience for story S-0030.,P1,M2,T-0059,5,24,Catalog,High,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0030,T-0060,Subtask,Catalog & Product Discovery,Catalog SEO and media,"Add accessibility, analytics and automated tests for: Integrate catalog media pipeline",Provide verification and operational evidence for story S-0030.,P1,M2,T-0060,3,16,Catalog,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
E-0006,,Epic,Lead & Quote Intake — Phase 1,,Lead & Quote Intake — Phase 1,Deliver the Lead & Quote Intake — Phase 1 outcome and satisfy its quality gates.,P0,M3,E-0005,53,264,Quotes F1,High,Planned,README.md,All child features accepted; blocking risks closed; RTM and release evidence updated.
F-0016,E-0006,Feature,Lead & Quote Intake — Phase 1,Contact and qualification,Contact and qualification,Provide the Contact and qualification capability within Lead & Quote Intake — Phase 1.,P0,M3,E-0006,16,80,Quotes F1,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0031,F-0016,Story,Lead & Quote Intake — Phase 1,Contact and qualification,Implement guided contact and quote forms,Users provide enough context without technical overload.,P0,M3,F-0016,8,40,Quotes F1,Medium,Planned,See RTM/Owner Document,Users provide enough context without technical overload.
T-0061,S-0031,Task,Lead & Quote Intake — Phase 1,Contact and qualification,"Implement service, data and security controls for: Implement guided contact and quote forms",Create the server-side/domain foundation required by story S-0031.,P0,M3,S-0031,3,16,Quotes F1,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0062,S-0031,Task,Lead & Quote Intake — Phase 1,Contact and qualification,Integrate end-to-end workflow for: Implement guided contact and quote forms,Complete the integrated workflow and user/operator experience for story S-0031.,P0,M3,T-0061,3,16,Quotes F1,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0031,T-0062,Subtask,Lead & Quote Intake — Phase 1,Contact and qualification,"Add automated tests, observability and runbook for: Implement guided contact and quote forms",Provide verification and operational evidence for story S-0031.,P0,M3,T-0062,2,8,Quotes F1,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0032,F-0016,Story,Lead & Quote Intake — Phase 1,Contact and qualification,Implement lead attribution and consent,Source and consent are recorded without unnecessary PII.,P0,M3,ST-0031,8,40,Quotes F1,Medium,Planned,See RTM/Owner Document,Source and consent are recorded without unnecessary PII.
T-0063,S-0032,Task,Lead & Quote Intake — Phase 1,Contact and qualification,"Implement service, data and security controls for: Implement lead attribution and consent",Create the server-side/domain foundation required by story S-0032.,P0,M3,S-0032,3,16,Quotes F1,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0064,S-0032,Task,Lead & Quote Intake — Phase 1,Contact and qualification,Integrate end-to-end workflow for: Implement lead attribution and consent,Complete the integrated workflow and user/operator experience for story S-0032.,P0,M3,T-0063,3,16,Quotes F1,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0032,T-0064,Subtask,Lead & Quote Intake — Phase 1,Contact and qualification,"Add automated tests, observability and runbook for: Implement lead attribution and consent",Provide verification and operational evidence for story S-0032.,P0,M3,T-0064,2,8,Quotes F1,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0017,E-0006,Feature,Lead & Quote Intake — Phase 1,Secure attachments,Secure attachments,Provide the Secure attachments capability within Lead & Quote Intake — Phase 1.,P0,M3,ST-0032,21,104,Quotes F1,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0033,F-0017,Story,Lead & Quote Intake — Phase 1,Secure attachments,Implement signed upload and quarantine,Attachments cannot bypass file security controls.,P0,M3,F-0017,13,64,Quotes F1,High,Planned,See RTM/Owner Document,Attachments cannot bypass file security controls.
T-0065,S-0033,Task,Lead & Quote Intake — Phase 1,Secure attachments,"Implement service, data and security controls for: Implement signed upload and quarantine",Create the server-side/domain foundation required by story S-0033.,P0,M3,S-0033,5,24,Quotes F1,High,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0066,S-0033,Task,Lead & Quote Intake — Phase 1,Secure attachments,Integrate end-to-end workflow for: Implement signed upload and quarantine,Complete the integrated workflow and user/operator experience for story S-0033.,P0,M3,T-0065,5,24,Quotes F1,High,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0033,T-0066,Subtask,Lead & Quote Intake — Phase 1,Secure attachments,"Add automated tests, observability and runbook for: Implement signed upload and quarantine",Provide verification and operational evidence for story S-0033.,P0,M3,T-0066,3,16,Quotes F1,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0034,F-0017,Story,Lead & Quote Intake — Phase 1,Secure attachments,Implement attachment review and retention,Operators can inspect safe metadata and apply retention decisions.,P0,M3,ST-0033,8,40,Quotes F1,Medium,Planned,See RTM/Owner Document,Operators can inspect safe metadata and apply retention decisions.
T-0067,S-0034,Task,Lead & Quote Intake — Phase 1,Secure attachments,"Implement service, data and security controls for: Implement attachment review and retention",Create the server-side/domain foundation required by story S-0034.,P0,M3,S-0034,3,16,Quotes F1,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0068,S-0034,Task,Lead & Quote Intake — Phase 1,Secure attachments,Integrate end-to-end workflow for: Implement attachment review and retention,Complete the integrated workflow and user/operator experience for story S-0034.,P0,M3,T-0067,3,16,Quotes F1,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0034,T-0068,Subtask,Lead & Quote Intake — Phase 1,Secure attachments,"Add automated tests, observability and runbook for: Implement attachment review and retention",Provide verification and operational evidence for story S-0034.,P0,M3,T-0068,2,8,Quotes F1,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0018,E-0006,Feature,Lead & Quote Intake — Phase 1,Operator quote workflow,Operator quote workflow,Provide the Operator quote workflow capability within Lead & Quote Intake — Phase 1.,P0,M3,ST-0034,16,80,Quotes F1,High,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0035,F-0018,Story,Lead & Quote Intake — Phase 1,Operator quote workflow,Implement assignment and status management,"Andrea can prioritize, request information and track ownership.",P0,M3,F-0018,8,40,Quotes F1,Medium,Planned,See RTM/Owner Document,"Andrea can prioritize, request information and track ownership."
T-0069,S-0035,Task,Lead & Quote Intake — Phase 1,Operator quote workflow,"Implement service, data and security controls for: Implement assignment and status management",Create the server-side/domain foundation required by story S-0035.,P0,M3,S-0035,3,16,Quotes F1,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0070,S-0035,Task,Lead & Quote Intake — Phase 1,Operator quote workflow,Integrate end-to-end workflow for: Implement assignment and status management,Complete the integrated workflow and user/operator experience for story S-0035.,P0,M3,T-0069,3,16,Quotes F1,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0035,T-0070,Subtask,Lead & Quote Intake — Phase 1,Operator quote workflow,"Add automated tests, observability and runbook for: Implement assignment and status management",Provide verification and operational evidence for story S-0035.,P0,M3,T-0070,2,8,Quotes F1,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0036,F-0018,Story,Lead & Quote Intake — Phase 1,Operator quote workflow,Implement versioned manual quotes,"Sent quotes are immutable, time-limited and auditable.",P0,M3,ST-0035,8,40,Quotes F1,Medium,Planned,See RTM/Owner Document,"Sent quotes are immutable, time-limited and auditable."
T-0071,S-0036,Task,Lead & Quote Intake — Phase 1,Operator quote workflow,"Implement service, data and security controls for: Implement versioned manual quotes",Create the server-side/domain foundation required by story S-0036.,P0,M3,S-0036,3,16,Quotes F1,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0072,S-0036,Task,Lead & Quote Intake — Phase 1,Operator quote workflow,Integrate end-to-end workflow for: Implement versioned manual quotes,Complete the integrated workflow and user/operator experience for story S-0036.,P0,M3,T-0071,3,16,Quotes F1,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0036,T-0072,Subtask,Lead & Quote Intake — Phase 1,Operator quote workflow,"Add automated tests, observability and runbook for: Implement versioned manual quotes",Provide verification and operational evidence for story S-0036.,P0,M3,T-0072,2,8,Quotes F1,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
E-0007,,Epic,Lantern Configurator,,Lantern Configurator,Deliver the Lantern Configurator outcome and satisfy its quality gates.,P1,M3,E-0006,53,264,Lantern,Medium,Planned,README.md,All child features accepted; blocking risks closed; RTM and release evidence updated.
F-0019,E-0007,Feature,Lantern Configurator,Model and option administration,Model and option administration,Provide the Model and option administration capability within Lantern Configurator.,P1,M3,E-0007,16,80,Lantern,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0037,F-0019,Story,Lantern Configurator,Model and option administration,Manage versioned lantern models,"Geometry, slots and capability manifests are publishable.",P1,M3,F-0019,8,40,Lantern,Medium,Planned,See RTM/Owner Document,"Geometry, slots and capability manifests are publishable."
T-0073,S-0037,Task,Lantern Configurator,Model and option administration,Implement data/API and state contract for: Manage versioned lantern models,Create the server-side/domain foundation required by story S-0037.,P1,M3,S-0037,3,16,Lantern,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0074,S-0037,Task,Lantern Configurator,Model and option administration,Implement responsive UI and interaction for: Manage versioned lantern models,Complete the integrated workflow and user/operator experience for story S-0037.,P1,M3,T-0073,3,16,Lantern,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0037,T-0074,Subtask,Lantern Configurator,Model and option administration,"Add accessibility, analytics and automated tests for: Manage versioned lantern models",Provide verification and operational evidence for story S-0037.,P1,M3,T-0074,2,8,Lantern,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0038,F-0019,Story,Lantern Configurator,Model and option administration,Manage compatibility rules,Invalid combinations are prevented and explainable.,P1,M3,ST-0037,8,40,Lantern,Medium,Planned,See RTM/Owner Document,Invalid combinations are prevented and explainable.
T-0075,S-0038,Task,Lantern Configurator,Model and option administration,Implement data/API and state contract for: Manage compatibility rules,Create the server-side/domain foundation required by story S-0038.,P1,M3,S-0038,3,16,Lantern,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0076,S-0038,Task,Lantern Configurator,Model and option administration,Implement responsive UI and interaction for: Manage compatibility rules,Complete the integrated workflow and user/operator experience for story S-0038.,P1,M3,T-0075,3,16,Lantern,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0038,T-0076,Subtask,Lantern Configurator,Model and option administration,"Add accessibility, analytics and automated tests for: Manage compatibility rules",Provide verification and operational evidence for story S-0038.,P1,M3,T-0076,2,8,Lantern,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0020,E-0007,Feature,Lantern Configurator,Configurator experience,Configurator experience,Provide the Configurator experience capability within Lantern Configurator.,P1,M3,ST-0038,21,104,Lantern,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0039,F-0020,Story,Lantern Configurator,Configurator experience,Implement guided configuration state machine,"Users can navigate, autosave and resume all steps.",P1,M3,F-0020,8,40,Lantern,Medium,Planned,See RTM/Owner Document,"Users can navigate, autosave and resume all steps."
T-0077,S-0039,Task,Lantern Configurator,Configurator experience,Implement data/API and state contract for: Implement guided configuration state machine,Create the server-side/domain foundation required by story S-0039.,P1,M3,S-0039,3,16,Lantern,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0078,S-0039,Task,Lantern Configurator,Configurator experience,Implement responsive UI and interaction for: Implement guided configuration state machine,Complete the integrated workflow and user/operator experience for story S-0039.,P1,M3,T-0077,3,16,Lantern,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0039,T-0078,Subtask,Lantern Configurator,Configurator experience,"Add accessibility, analytics and automated tests for: Implement guided configuration state machine",Provide verification and operational evidence for story S-0039.,P1,M3,T-0078,2,8,Lantern,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0040,F-0020,Story,Lantern Configurator,Configurator experience,Implement adaptive premium 3D and complete static fallback,Deliver causality-driven Three.js preview with adaptive quality and full 2D fallback.,P1,M3,ST-0039,13,64,Lantern,High,Planned,05_Features/02_Lantern_Configurator.md; ADR-0008; ADR-0017,Deliver causality-driven Three.js preview with adaptive quality and full 2D fallback.
T-0079,S-0040,Task,Lantern Configurator,Configurator experience,Implement architecture and controls for: Implement adaptive premium 3D and complete static fallback,Implement architecture and controls for: Implement adaptive premium 3D and complete static fallback,P1,M3,S-0040,5,24,Lantern,High,Planned,See story and RTM,Implement architecture and controls for: Implement adaptive premium 3D and complete static fallback completed with evidence linked to the story.
T-0080,S-0040,Task,Lantern Configurator,Configurator experience,Integrate end-to-end workflow for: Implement adaptive premium 3D and complete static fallback,Integrate end-to-end workflow for: Implement adaptive premium 3D and complete static fallback,P1,M3,T-0079,5,24,Lantern,High,Planned,See story and component/API specs,Integrate end-to-end workflow for: Implement adaptive premium 3D and complete static fallback completed with evidence linked to the story.
ST-0040,T-0080,Subtask,Lantern Configurator,Configurator experience,"Verify accessibility, performance, observability and traceability for: Implement adaptive premium 3D and complete static fallback","Verify accessibility, performance, observability and traceability for: Implement adaptive premium 3D and complete static fallback",P1,M3,T-0080,3,16,Lantern,Medium,Planned,Testing Strategy; Observability; RTM,"Verify accessibility, performance, observability and traceability for: Implement adaptive premium 3D and complete static fallback completed with evidence linked to the story."
F-0021,E-0007,Feature,Lantern Configurator,Submission and review,Submission and review,Provide the Submission and review capability within Lantern Configurator.,P1,M3,ST-0040,16,80,Lantern,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0041,F-0021,Story,Lantern Configurator,Submission and review,Create immutable submitted snapshots,"Every request can reproduce model, options and media versions.",P1,M3,F-0021,8,40,Lantern,Medium,Planned,See RTM/Owner Document,"Every request can reproduce model, options and media versions."
T-0081,S-0041,Task,Lantern Configurator,Submission and review,Implement data/API and state contract for: Create immutable submitted snapshots,Create the server-side/domain foundation required by story S-0041.,P1,M3,S-0041,3,16,Lantern,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0082,S-0041,Task,Lantern Configurator,Submission and review,Implement responsive UI and interaction for: Create immutable submitted snapshots,Complete the integrated workflow and user/operator experience for story S-0041.,P1,M3,T-0081,3,16,Lantern,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0041,T-0082,Subtask,Lantern Configurator,Submission and review,"Add accessibility, analytics and automated tests for: Create immutable submitted snapshots",Provide verification and operational evidence for story S-0041.,P1,M3,T-0082,2,8,Lantern,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0042,F-0021,Story,Lantern Configurator,Submission and review,Implement operator lantern review,Andrea can request changes and convert a configuration into a quote.,P1,M3,ST-0041,8,40,Lantern,Medium,Planned,See RTM/Owner Document,Andrea can request changes and convert a configuration into a quote.
T-0083,S-0042,Task,Lantern Configurator,Submission and review,Implement data/API and state contract for: Implement operator lantern review,Create the server-side/domain foundation required by story S-0042.,P1,M3,S-0042,3,16,Lantern,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0084,S-0042,Task,Lantern Configurator,Submission and review,Implement responsive UI and interaction for: Implement operator lantern review,Complete the integrated workflow and user/operator experience for story S-0042.,P1,M3,T-0083,3,16,Lantern,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0042,T-0084,Subtask,Lantern Configurator,Submission and review,"Add accessibility, analytics and automated tests for: Implement operator lantern review",Provide verification and operational evidence for story S-0042.,P1,M3,T-0084,2,8,Lantern,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
E-0008,,Epic,Events & Local Marketing,,Events & Local Marketing,Deliver the Events & Local Marketing outcome and satisfy its quality gates.,P1,M3,E-0007,45,224,Events,Medium,Planned,README.md,All child features accepted; blocking risks closed; RTM and release evidence updated.
F-0022,E-0008,Feature,Events & Local Marketing,Event publishing,Event publishing,Provide the Event publishing capability within Events & Local Marketing.,P1,M3,E-0008,13,64,Events,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0043,F-0022,Story,Events & Local Marketing,Event publishing,Manage event calendar and detail pages,Upcoming and past events have accurate status and location.,P1,M3,F-0022,5,24,Events,Medium,Planned,See RTM/Owner Document,Upcoming and past events have accurate status and location.
T-0085,S-0043,Task,Events & Local Marketing,Event publishing,Implement data/API and state contract for: Manage event calendar and detail pages,Create the server-side/domain foundation required by story S-0043.,P1,M3,S-0043,2,8,Events,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0086,S-0043,Task,Events & Local Marketing,Event publishing,Implement responsive UI and interaction for: Manage event calendar and detail pages,Complete the integrated workflow and user/operator experience for story S-0043.,P1,M3,T-0085,2,8,Events,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0043,T-0086,Subtask,Events & Local Marketing,Event publishing,"Add accessibility, analytics and automated tests for: Manage event calendar and detail pages",Provide verification and operational evidence for story S-0043.,P1,M3,T-0086,1,8,Events,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0044,F-0022,Story,Events & Local Marketing,Event publishing,Handle event changes and cancellation,Updates produce clear pages and notifications.,P1,M3,ST-0043,8,40,Events,Medium,Planned,See RTM/Owner Document,Updates produce clear pages and notifications.
T-0087,S-0044,Task,Events & Local Marketing,Event publishing,Implement data/API and state contract for: Handle event changes and cancellation,Create the server-side/domain foundation required by story S-0044.,P1,M3,S-0044,3,16,Events,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0088,S-0044,Task,Events & Local Marketing,Event publishing,Implement responsive UI and interaction for: Handle event changes and cancellation,Complete the integrated workflow and user/operator experience for story S-0044.,P1,M3,T-0087,3,16,Events,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0044,T-0088,Subtask,Events & Local Marketing,Event publishing,"Add accessibility, analytics and automated tests for: Handle event changes and cancellation",Provide verification and operational evidence for story S-0044.,P1,M3,T-0088,2,8,Events,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0023,E-0008,Feature,Events & Local Marketing,Registration and lead capture,Registration and lead capture,Provide the Registration and lead capture capability within Events & Local Marketing.,P1,M3,ST-0044,16,80,Events,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0045,F-0023,Story,Events & Local Marketing,Registration and lead capture,Implement interest/registration flows,Consent and attendance intent are captured accessibly.,P1,M3,F-0023,8,40,Events,Medium,Planned,See RTM/Owner Document,Consent and attendance intent are captured accessibly.
T-0089,S-0045,Task,Events & Local Marketing,Registration and lead capture,Implement data/API and state contract for: Implement interest/registration flows,Create the server-side/domain foundation required by story S-0045.,P1,M3,S-0045,3,16,Events,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0090,S-0045,Task,Events & Local Marketing,Registration and lead capture,Implement responsive UI and interaction for: Implement interest/registration flows,Complete the integrated workflow and user/operator experience for story S-0045.,P1,M3,T-0089,3,16,Events,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0045,T-0090,Subtask,Events & Local Marketing,Registration and lead capture,"Add accessibility, analytics and automated tests for: Implement interest/registration flows",Provide verification and operational evidence for story S-0045.,P1,M3,T-0090,2,8,Events,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
S-0046,F-0023,Story,Events & Local Marketing,Registration and lead capture,Attribute event leads and outcomes,Offline and online conversions can be analyzed.,P1,M3,ST-0045,8,40,Events,Medium,Planned,See RTM/Owner Document,Offline and online conversions can be analyzed.
T-0091,S-0046,Task,Events & Local Marketing,Registration and lead capture,Implement data/API and state contract for: Attribute event leads and outcomes,Create the server-side/domain foundation required by story S-0046.,P1,M3,S-0046,3,16,Events,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
T-0092,S-0046,Task,Events & Local Marketing,Registration and lead capture,Implement responsive UI and interaction for: Attribute event leads and outcomes,Complete the integrated workflow and user/operator experience for story S-0046.,P1,M3,T-0091,3,16,Events,Medium,Planned,See story and component/API specs,Happy path and documented recovery paths work in the target environment.
ST-0046,T-0092,Subtask,Events & Local Marketing,Registration and lead capture,"Add accessibility, analytics and automated tests for: Attribute event leads and outcomes",Provide verification and operational evidence for story S-0046.,P1,M3,T-0092,2,8,Events,Medium,Planned,Testing Strategy; Observability; RTM,Required test suites pass; telemetry is queryable; documentation and RTM are updated.
F-0024,E-0008,Feature,Events & Local Marketing,Local SEO and post-event content,Local SEO and post-event content,Provide the Local SEO and post-event content capability within Events & Local Marketing.,P1,M3,ST-0046,16,80,Events,Medium,Planned,See Owner Document Registry,Both child stories meet acceptance criteria and integration risks are resolved.
S-0047,F-0024,Story,Events & Local Marketing,Local SEO and post-event content,Publish valid event structured data,Search metadata reflects real dates and status.,P1,M3,F-0024,8,40,Events,Medium,Planned,See RTM/Owner Document,Search metadata reflects real dates and status.
T-0093,S-0047,Task,Events & Local Marketing,Local SEO and post-event content,Implement data/API and state contract for: Publish valid event structured data,Create the server-side/domain foundation required by story S-0047.,P1,M3,S-0047,3,16,Events,Medium,Planned,See story and RTM,Code/design reviewed; contracts validated; error and authorization paths covered.
